id,timestamp,language,source,message,summary,sentiment,themes
1,2025-02-15T10:23:00Z,en,email,I can’t log into my account—keeps saying invalid credentials.,Customer unable to log into account due to invalid credentials.,negative,"login issue, invalid credentials"
2,2025-02-16T14:45:00Z,fr,chat,Le site est très lent lorsque je charge la page d’accueil.,The site is very slow when loading the homepage.,negative,"site speed, homepage loading"
3,2025-02-17T09:12:00Z,en,survey,I love the new dashboard but wish there were more filter options.,Positive feedback with a suggestion for improvement,positive,"Dashboard design, Filter options"
4,2025-02-18T16:30:00Z,es,email,No recibo notificaciones por correo después de actualizar mi plan.,Customer is not receiving email notifications after updating their plan.,negative,"Email notifications not working, Plan update issue"
5,2025-02-19T11:05:00Z,en,chat,The pricing page is confusing—hard to tell what’s included.,Customers are finding the pricing page confusing due to lack of clarity on what's included.,negative,"Confusing pricing page, Lack of clarity on included items"
6,2025-02-20T13:15:00Z,fr,email,J’ai besoin d’aide pour réinitialiser mon mot de passe.,Customer needs assistance with resetting their password.,neutral,password reset assistance
7,2025-02-21T08:45:00Z,es,survey,La aplicación se bloquea a menudo en mi teléfono.,Frequent app crashes on my phone.,negative,"App crashes, Phone compatibility"
8,2025-02-22T15:00:00Z,en,chat,Can you add a dark mode option? It’s hard on the eyes at night.,Request for dark mode option due to eye strain at night.,negative,"dark mode option, eye strain"
9,2025-02-23T12:30:00Z,fr,email,"Le support technique est très réactif, merci !","Very responsive technical support, thanks!",positive,"responsive support, gratitude"
10,2025-02-24T17:00:00Z,es,chat,Me gustaría ver más tutoriales en video sobre el uso de la plataforma.,Request for more video tutorials on platform usage,positive,"video tutorials, platform usage"
11,2025-02-25T10:00:00Z,en,email,I need to change my billing information but can’t find where to do it.,Customer having difficulty changing billing information,negative,"billing information update, technical support needed"
12,2025-02-26T14:20:00Z,fr,survey,L’interface utilisateur est très intuitive et facile à naviguer.,Positive feedback on user interface,positive,"intuitive interface, easy navigation"
13,2025-02-27T09:50:00Z,es,email,No puedo encontrar la opción para cancelar mi suscripción.,Customer is having trouble finding the option to cancel subscription.,Negative,Subscription cancellation difficulty
14,2025-02-28T16:10:00Z,en,chat,The app crashes when I try to upload a file larger than 10MB.,App crashes when uploading large files,negative,"app performance, file upload issue"
15,2025-03-01T11:40:00Z,fr,email,J’aimerais avoir plus d’options de personnalisation dans l’application.,Customer requests more customization options in the application.,positive,"customization options, application features"
16,2025-03-02T13:55:00Z,es,chat,El proceso de registro es demasiado largo y complicado.,The registration process is too long and complicated.,negative,"Registration process length, Registration process complexity"
17,2025-03-03T08:25:00Z,en,email,I received a charge I didn’t authorize—please investigate.,Unauthorized charge reported for investigation.,Negative,"Unauthorized charge, Investigation requested"
18,2025-03-04T15:35:00Z,fr,survey,Le service client est très utile et répond rapidement.,Excellent customer service with quick responses.,positive,"Helpful customer service, Quick responses"
19,2025-03-05T10:15:00Z,es,email,No entiendo cómo funciona el sistema de puntos de recompensa.,Customer is confused about the reward points system.,Negative,"Confusion, Reward points system"
20,2025-03-06T14:50:00Z,en,chat,Can you provide more details on the new features in the latest update?,Customer is inquiring about more details on new features in the latest update.,neutral,"Feature Details, Latest Update"
21,2025-03-07T09:05:00Z,fr,email,J’ai des problèmes de connexion avec l’application mobile.,Connection issues with mobile application,negative,"connection problems, mobile application"
22,2025-03-08T16:45:00Z,es,survey,La calidad del audio en las llamadas es muy baja.,Low audio quality in calls,negative,"audio quality, calls"
23,2025-03-09T11:30:00Z,en,email,I want to know how to export my data from the platform.,Customer is seeking guidance on exporting data from the platform.,neutral,"data export, platform usage"
24,2025-03-10T13:40:00Z,fr,chat,"Le site web est souvent en panne, c’est très frustrant.",Frequent website outages causing frustration,negative,"website outages, frustration"
25,2025-03-11T08:55:00Z,es,email,No puedo acceder a mi cuenta desde la aplicación móvil.,Issue accessing account via mobile app,negative,"account access issue, mobile app"
26,2025-03-12T15:20:00Z,en,survey,"The new feature is great, but it’s a bit slow to load.",Customers like the new feature but note it is slow to load.,Neutral,"New feature, Loading speed"
27,2025-03-13T10:10:00Z,fr,email,J’aimerais avoir plus de choix de langues dans l’application.,Customer wants more language options in the app.,positive,"language options, app features"
